Tiempo[ms],Ax,Ay,Az,Gx,Gy,Gz,Clase
46,-0.354,-2.312,9.516,-0.066,0.064,-0.033,Clase 1
30552,-0.351,-2.425,9.544,2.163,0.049,0.318,Clase 1
30656,-0.361,-2.298,9.501,0.117,0.11,-0.17,Clase 1
30761,-0.356,-2.322,9.518,-0.013,-0.05,-0.064,Clase 1
30866,-0.356,-2.391,9.588,0.163,0.019,-0.002,Clase 1
30971,-0.313,-2.336,9.556,0.43,-0.096,0.104,Clase 1
31076,-0.358,-2.343,9.554,0.888,-0.249,0.051,Clase 1
31181,-0.311,-2.365,9.542,0.591,-0.081,0.242,Clase 1
31286,-0.366,-2.37,9.533,-0.142,-0.279,-0.254,Clase 1
31391,-0.38,-2.382,9.566,-0.89,-0.004,-0.002,Clase 1
31496,-0.401,-2.326,9.552,-0.058,-0.157,-0.17,Clase 1
31600,-0.38,-2.271,9.635,-0.043,-0.302,-0.155,Clase 1
31706,-0.358,-2.355,9.463,-2.28,-0.21,-0.445,Clase 1
31810,-0.325,-2.336,9.442,-0.99,-0.317,0.097,Clase 1
31916,-0.368,-2.334,9.573,1.713,0.049,0.242,Clase 1
32020,-0.322,-2.314,9.475,1.583,0.24,0.303,Clase 1
32125,-0.366,-2.231,9.518,1.384,0.072,0.158,Clase 1
32230,-0.375,-2.298,9.578,-0.417,0.064,0.112,Clase 1
32335,-0.361,-2.355,9.583,-0.158,0.003,-0.033,Clase 1
67,-0.356,-2.281,9.509,0.041,0.08,-0.079,Clase 1
212,-0.361,-2.324,9.446,-0.577,0.019,-0.17,Clase 1
317,-0.387,-2.307,9.422,0.178,-0.065,-0.186,Clase 2
421,-0.311,-2.24,9.511,0.003,0.034,0.127,Clase 2
527,-0.349,-2.257,9.561,0.369,-0.058,-0.086,Clase 2
631,-0.385,-2.3,9.506,0.43,0.003,0.02,Clase 2
737,-0.39,-2.319,9.497,1.881,0.11,0.295,Clase 2
841,-0.385,-2.259,9.559,1.026,-0.012,0.211,Clase 2
946,-0.361,-2.252,9.576,0.675,0.179,0.036,Clase 2
1051,-0.346,-2.257,9.494,1.873,0.118,0.104,Clase 2
1156,-0.411,-2.226,9.669,2.736,0.156,0.265,Clase 2
1260,-0.322,-2.238,9.681,3.354,0.805,0.768,Clase 2
1366,-0.409,-2.283,9.571,2.72,0.156,0.471,Clase 2
1470,-0.38,-2.322,9.487,0.69,0.118,-0.216,Clase 2
1575,-0.334,-2.233,9.652,0.209,-0.081,0.005,Clase 2
1680,-0.449,-2.238,9.59,-0.455,0.042,-0.079,Clase 2
1784,-0.373,-2.274,9.537,-0.051,0.026,-0.102,Clase 2
1890,-0.409,-2.188,9.537,-0.341,0.057,0.005,Clase 2
1994,-0.313,-2.276,9.535,4.468,0.492,0.646,Clase 2
2100,-0.375,-2.298,9.516,2.148,0.049,0.295,Clase 2
2204,-0.342,-2.267,9.53,0.056,-0.027,-0.079,Clase 2
2309,-0.382,-2.231,9.597,1.041,0.103,-0.14,Clase 2
2414,-0.528,-2.03,9.53,0.896,-0.493,0.089,Clase 2
2519,-0.605,-0.124,11.117,85.797,10.721,-23.392,Clase 2
2624,-4.22,-3.636,19.145,60.362,33.126,13.555,Clase 2
2728,0.211,0.197,5.371,-1.402,-130.21,-48.308,Clase 2
2834,-1.491,-1.374,2.417,51.415,211.37,49.578,Clase 2
2938,-7.692,-0.828,8.984,-18.616,-250.813,-183.079,Clase 2
3044,1.758,-0.794,-13.952,-38.379,188.439,131.601,Clase 2
3149,-10.117,-6.303,15.994,-101.242,-250.813,-248.69,Clase 2
